candidate_id,formula,pilot_or_new,selection_rule,freeze_timestamp,timestamp_source,result_known_at_freeze,Gate_round,Greedy_round,DFT_status,relaxation_output_available,static_output_available,failure_stage,failure_reason,main_text_selected,selection_reason,raw_job_path,final_cif_path,sha256,sha256_subject,relaxation_evidence_available,relaxation_evidence_type,pilot_selection_query_rank,pilot_selection_iteration,pilot_selection_round_source,selection_file_mtime_utc,selection_source_path,selection_source_sha256,historical_remote_job_path
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3,LiCr2O4,new,early_both;boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,4,5,static_finished,True,True,,,False,Early by both methods; Cr lower-boundary structure in a singleton matcher cluster.,new12_dft_final/candidate_outputs/candidate_004_Cr_job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3,new12_dft_final/candidate_outputs/candidate_004_Cr_job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3/final.cif,ffab4bd82db6be58c5aa4d717fa28510b63fd397dfb5533deb3bbb472a0ae338,new12_dft_final/candidate_outputs/candidate_004_Cr_job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0,LiCr2O4,new,gate_early_greedy_late;early_both;boundary_or_structurally_diverse,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,2,10,static_finished,True,True,,,True,Lowest credible converged FM state; strict Fmax <= 0.05 eV/Angstrom; near-target; selected for composition/query-role/structure diversity.,new12_dft_final/candidate_outputs/candidate_002_Cr_job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0,new12_dft_final/candidate_outputs/candidate_002_Cr_job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0/final.cif,566041d368248b543745a9bc95e0461feef2ec2689da14e9b366673f5ffa1637,new12_dft_final/candidate_outputs/candidate_002_Cr_job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #8; recorded score=0.392174556271,materials_maintext_candidates/candidate_008,materials_maintext_candidates/candidate_008/final.cif,9347698f9a233b0ae4db7dfbfeadfc5a6898238c6a4fa56aa7a8727afcdca787,materials_maintext_candidates/candidate_008/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,312,20,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #2; recorded score=0.578721194525,materials_maintext_candidates/candidate_002,materials_maintext_candidates/candidate_002/final.cif,7e5b55286e0f88de9eb9edb7444098079d89249c7553691179292e4112954be5,materials_maintext_candidates/candidate_002/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,43,3,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_002_LiCr2O4_job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #5; recorded score=0.509763786624,materials_maintext_candidates/candidate_005,materials_maintext_candidates/candidate_005/final.cif,d2d6a5c0c5ac998f8016c65db0c9f988472d5a2aeac1ad34a688726602f5a874,materials_maintext_candidates/candidate_005/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,176,11,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #4; recorded score=0.556778026615,materials_maintext_candidates/candidate_004,materials_maintext_candidates/candidate_004/final.cif,1d90afb9ee348aa9416dd9540873b9e0897dcf4e030078d67856c15b0c43bb9a,materials_maintext_candidates/candidate_004/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,228,15,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_004_LiCr2O4_job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,LiMn2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #3; recorded score=0.56915380546,materials_maintext_candidates/candidate_003,materials_maintext_candidates/candidate_003/final.cif,5ef4b73c78296f1ce3a2aa2c8cce7263a59689533b07bd6b967526852bf35c9c,materials_maintext_candidates/candidate_003/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,147,10,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,failed_static_electronic_nonconvergence,False,True,static,static electronic convergence marker absent,False,retained pilot selection #7; recorded score=0.431457843562,materials_maintext_candidates/candidate_007,materials_maintext_candidates/candidate_007/final.cif,8d6226fd18571686bb897588c0c6ef8d5e7cdb40a25c2030c79524552f0d89eb,materials_maintext_candidates/candidate_007/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,227,15,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_007_LiCr2O4_job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #1; recorded score=0.825609574321,materials_maintext_candidates/candidate_001,materials_maintext_candidates/candidate_001/final.cif,98ffdf1a0c8f2d88988e830663fbf9d25f2dce08b9f41824a9c15e52d5d1fea9,materials_maintext_candidates/candidate_001/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,36,3,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_001_LiCr2O4_job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_1,LiCr2O4,pilot,"post-screening multi-criterion score: early acquisition, ALIGNN interval evidence, structural sanity, and diversity",,MISSING_no_contemporaneous_result_blind_freeze_record,unknown,,,static_finished,False,True,,,False,retained pilot selection #6; recorded score=0.487919839312,materials_maintext_candidates/candidate_006,materials_maintext_candidates/candidate_006/final.cif,3c51957ba036d647eaffa9896577721ec4ce0188e9544e593f5a61bfc7ce1568,materials_maintext_candidates/candidate_006/final.cif,True,stdout_relax.log_only; original OUTCAR/OSZICAR unavailable,172,11,outputs/dft_candidate_selection/selected_dft_candidates.csv; not relabelled as Gate_round,2026-07-04T15:10:56.475022+00:00,outputs/dft_candidate_selection/selected_dft_candidates.csv,2b03042921df1ff7be001c51c5f9423012cfbf80e3a777b35aa2291d1228e944,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_006_LiCr2O4_job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_1
